Unique_Tiger_ID,Original_Filename,Status,Match_Confidence_Score,Top_ResNet_Label,Blur_Score,Std_Dev,Resolution_Width,Resolution_Height
TIG_2026_0103,tiger_71.png,Original,N/A (New Enrollment),tiger,152.2,0.124,512,512
TIG_2026_0104,tiger_74.png,Original,N/A (New Enrollment),tiger,241.4,0.206,512,512
TIG_2026_0008,tiger_75.png,Duplicate,92.0%,tiger,115.8,0.187,512,512
TIG_2026_0105,tiger_76.png,Original,N/A (New Enrollment),tiger,394.9,0.159,512,512
TIG_2026_0106,tiger_78.png,Original,N/A (New Enrollment),tiger,212.7,0.227,512,512
TIG_2026_0003,tiger_79.png,Duplicate,89.7%,tiger,1354.8,0.169,512,512
TIG_2026_0081,tiger_8.png,Duplicate,89.7%,tiger,131.1,0.156,512,512
TIG_2026_0082,tiger_84.png,Duplicate,89.9%,tiger,118.5,0.172,512,512
TIG_2026_0107,tiger_85.png,Original,N/A (New Enrollment),tiger,158.9,0.156,512,512
TIG_2026_0005,tiger_86.png,Duplicate,88.5%,tiger,796.6,0.261,512,512
TIG_2026_0056,tiger_89.png,Duplicate,92.9%,tiger,201.5,0.19,512,512
TIG_2026_0103,tiger_9.png,Duplicate,90.0%,tiger,40.7,0.123,512,512
TIG_2026_0030,tiger_90.png,Duplicate,90.5%,tiger,177.8,0.232,512,512
TIG_2026_0108,tiger_91.png,Original,N/A (New Enrollment),tiger,251.6,0.309,512,512
TIG_2026_0109,tiger_93.png,Original,N/A (New Enrollment),tiger,227.3,0.164,512,512
TIG_2026_0008,tiger_96.png,Duplicate,90.0%,tiger,125.1,0.129,512,512
TIG_2026_0061,tiger_98.png,Duplicate,88.1%,tiger,115.1,0.135,512,512
