Image_File,Count_Run1,Count_Run2,Count_Match,Morph_Run1,Morph_Run2,Morph_Match
tiger_110.png,1,1,YES,Orange_Standard,Orange_Standard,YES
TIger_1122.jpeg,1,1,YES,Orange_Standard,Orange_Standard,YES
TIger_1123.jpeg,1,1,YES,Orange_Standard,Orange_Standard,YES
TIger_1124.jpeg,3,3,YES,Golden,Golden,YES
TIger_1125.jpeg,2,2,YES,Orange_Standard,Orange_Standard,YES
TIger_1125.jpeg,2,2,YES,Orange_Standard,Orange_Standard,YES
TIger_1125.jpeg,2,2,YES,Orange_Standard,Orange_Standard,YES
TIger_1125.jpeg,2,2,YES,Orange_Standard,Orange_Standard,YES
TIger_1126.jpeg,1,1,YES,Orange_Standard,Orange_Standard,YES
tiger_12.png,1,1,YES,Orange_Standard,Orange_Standard,YES
tiger_126.png,1,1,YES,Orange_Standard,Orange_Standard,YES
tiger_127.png,1,1,YES,Orange_Standard,Orange_Standard,YES
tiger_13.png,1,1,YES,Orange_Standard,Orange_Standard,YES
tiger_156.png,1,1,YES,Golden,Golden,YES
tiger_181.png,1,1,YES,Orange_Standard,Orange_Standard,YES
tiger_198.png,1,1,YES,Orange_Standard,Orange_Standard,YES
tiger_200.png,1,1,YES,Orange_Standard,Orange_Standard,YES
tiger_224.png,1,1,YES,Orange_Standard,Orange_Standard,YES
tiger_235.png,1,1,YES,Orange_Standard,Orange_Standard,YES
tiger_24.png,1,1,YES,Golden,Golden,YES
tiger_256.png,1,1,YES,Orange_Standard,Orange_Standard,YES
tiger_284.png,1,1,YES,Orange_Standard,Orange_Standard,YES
tiger_32.png,1,1,YES,Orange_Standard,Orange_Standard,YES
tiger_326.png,1,1,YES,Orange_Standard,Orange_Standard,YES
tiger_327.png,1,1,YES,Orange_Standard,Orange_Standard,YES
tiger_340.png,1,1,YES,Golden,Golden,YES
tiger_347.png,1,1,YES,Orange_Standard,Orange_Standard,YES
tiger_352.png,1,1,YES,Orange_Standard,Orange_Standard,YES
tiger_382.png,1,1,YES,Orange_Standard,Orange_Standard,YES
tiger_403.png,1,1,YES,Orange_Standard,Orange_Standard,YES
tiger_42.png,1,1,YES,Orange_Standard,Orange_Standard,YES
tiger_78.png,1,1,YES,Orange_Standard,Orange_Standard,YES
tiger_8.png,1,1,YES,Orange_Standard,Orange_Standard,YES
tiger_84.png,1,1,YES,Orange_Standard,Orange_Standard,YES
tiger_86.png,1,1,YES,Orange_Standard,Orange_Standard,YES
